商品商品,现货价格,最近合约代码,最近合约价格,最近合约现期差1,主力合约代码,主力合约价格,主力合约现期差2,timestamp
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220811
铜,62568.33,2208,62560,80.01%,2209,62100,4680.75%,20220811
螺纹钢,4159.56,2208,4093,661.59%,2210,4080,791.90%,20220811
锌,25606.00,2208,25700,-94-0.37%,2209,25180,4261.66%,20220811
铝,18806.67,2208,18950,-143-0.76%,2209,18730,760.40%,20220811
黄金,388.99,2208,388.88,0.110.03%,2212,390.7,-1.71-0.44%,20220811
线材,4566.00,2208,4797,-231-5.06%,2210,4507,591.29%,20220811
燃料油,6510.00,2209,3309,320149.17%,2301,3236,327450.29%,20220811
天然橡胶,12110.00,2208,11920,1901.57%,2301,12940,-830-6.85%,20220811
铅,15106.25,2208,15160,-53-0.35%,2209,15170,-63-0.42%,20220811
白银,4474.00,2208,4474,0.000.00%,2212,4514,-40-0.89%,20220811
石油沥青,4397.00,2208,4700,-303-6.89%,2212,4184,2134.84%,20220811
热轧卷板,4024.00,2208,3962,621.54%,2210,4039,-15-0.37%,20220811
镍,182166.67,2208,177720,44462.44%,2209,173700,84664.65%,20220811
锡,202512.50,2208,200340,21721.07%,2209,198760,37521.85%,20220811
纸浆,7270.00,2208,7190,801.10%,2301,6628,6428.83%,20220811
不锈钢,16240.00,2208,15750,4903.02%,2209,15585,6554.03%,20220811
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220811
PTA,6010.83,2208,6002,80.13%,2301,5514,4968.25%,20220811
白糖,5824.00,2209,5632,1923.30%,2301,5573,2514.31%,20220811
棉花,15666.67,2209,14795,8715.56%,2301,14565,11017.03%,20220811
普麦,3010.00,2209,3000,100.33%,2307,3122,-112-3.72%,20220811
菜籽油OI,12910.00,2209,11962,9487.34%,2209,11962,9487.34%,20220811
强麦WH,3010.00,2209,3300,-290-9.63%,2303,3367,-357-11.86%,20220811
玻璃,19.94,2208,1530,654.07%,2301,1555,402.51%,20220811
菜籽粕,3634.00,2208,3546,882.42%,2301,2859,77521.33%,20220811
油菜籽,6900.00,2208,6831,691.00%,2209,6534,3665.30%,20220811
硅铁,7657.14,2208,7924,-266-3.47%,2209,7958,-300-3.92%,20220811
锰硅,7130.00,2208,7322,-192-2.69%,2209,7324,-194-2.72%,20220811
甲醇MA,2443.75,2208,2520,-76-3.11%,2209,2418,251.02%,20220811
棉纱,26575.00,2208,21715,486018.29%,2209,22225,435016.37%,20220811
尿素,2322.00,2208,2402,-80-3.45%,2301,2241,813.49%,20220811
纯碱,2840.00,2208,2621,2197.71%,2301,2344,49617.46%,20220811
涤纶短纤,7818.33,2208,7508,3103.97%,2210,7184,6348.11%,20220811
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220811
棕榈油,10040.00,2208,9192,8488.45%,2209,8550,149014.84%,20220811
聚氯乙烯,6581.43,2208,6636,-54-0.82%,2209,6689,-107-1.63%,20220811
聚乙烯,8025.71,2208,7809,2162.69%,2209,7849,1762.19%,20220811
豆一,6187.50,2209,6255,-67-1.08%,2209,6255,-67-1.08%,20220811
豆粕,4280.00,2208,4213,671.57%,2301,3733,54712.78%,20220811
豆油,10670.00,2208,9916,7547.07%,2301,9706,9649.03%,20220811
玉米,2770.00,2209,2707,632.27%,2301,2725,451.62%,20220811
铁矿石,801.33,2208,789,121.50%,2301,734.5,668.24%,20220811
鸡蛋,9.41,2208,4275,4309.14%,2301,4028,67714.39%,20220811
聚丙烯,8141.67,2208,7965,1762.16%,2209,7912,2292.81%,20220811
玉米淀粉,3306.00,2209,3023,2838.56%,2209,3023,2838.56%,20220811
乙二醇,4375.00,2208,4112,2636.01%,2209,4102,2736.24%,20220811
苯乙烯,8600.00,2208,8735,-135-1.57%,2209,8475,1251.45%,20220811
液化石油气,5556.00,2208,5580,-24-0.43%,2209,5073,4838.69%,20220811
生猪,21.27,2209,19650,16207.62%,2301,21770,-500-2.35%,20220811
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220812
铜,63000.00,2208,63090,-90-0.14%,2209,62720,2800.44%,20220812
螺纹钢,4188.89,2208,4135,531.27%,2210,4127,611.46%,20220812
锌,25482.00,2208,25425,570.22%,2209,25210,2721.07%,20220812
铝,18686.67,2208,18990,-303-1.62%,2209,18670,160.09%,20220812
黄金,389.27,2208,387.9,1.370.35%,2212,390.74,-1.47-0.38%,20220812
线材,4592.00,2208,4797,-205-4.46%,2210,4560,320.70%,20220812
燃料油,6520.00,2209,3433,308747.35%,2301,3350,317048.62%,20220812
