ShipID,Latitude,Longitude,Speed,MovementdateTime,Heading,Draught
9389825,60.4355,28.2245,12.7,00:00.0,56,8.7
9389825,60.4355,28.2245,12.7,00:00.0,56,8.7
9389825,60.4355,28.2245,12.7,00:00.0,56,8.7
9389825,60.4355,28.2245,12.7,00:00.0,56,8.7
9389825,32.0854,119.929,0,43:24.0,329,9.1
9389825,37.3332,6.156942,10.3,00:54.0,86,13
9389825,31.1461,122.664,6.1,48:05.0,295,12.1
9389825,35.1011,121.329,10.3,58:08.0,113,8.8
9389825,35.3609,119.534,0,04:39.0,0,12.1
9389825,47.3075,-122.5,0.1,54:46.0,82,7.8
9389825,37.01089,11.94549,12.4,05:54.0,114,13
9389825,35.5295,17.50855,11.8,52:05.0,107,13
9389825,34.1893,22.70088,11.9,11:35.0,107,13
9389825,32.64233,28.60825,11.8,02:45.0,107,13
9389825,31.39061,32.37889,5.6,28:42.0,138,13.2
9389825,49.08,140.377,4.3,25:41.0,287,6.9
9389825,45.9327,139.121,12.8,51:16.0,20,6.9
9389825,39.9593,133.481,13.2,56:47.0,42,6.9
9389825,36.3861,130.606,12.8,16:31.0,36,6.9
9389825,33.818,127.93,13.2,55:33.0,50,6.9
9389825,47.3082,-122.5,0.1,51:35.0,120,7.8
9389825,31.0844,123.034,12.8,48:58.0,50,6.9
9389825,35.3362,119.534,0.1,37:03.0,180,13.3
9389825,32.3059,119.834,0,22:02.0,315,9.1
9389825,45.6169,155.65,12.4,51:56.0,82,7.8
9389825,32.306,119.834,0,51:59.0,315,9.1
9389825,43.7389,147.344,11.6,37:23.0,235,13.3
9389825,51.243,-161.614,10.7,33:56.0,88,7.8
9389825,31.8896,120.889,11.3,54:02.0,350,9.1
9389825,56.0677,-174.851,9.4,43:52.0,292,13.3
9389825,43.3962,136.916,10.7,04:51.0,217,7.3
9389825,47.1569,139.715,11,41:21.0,196,7.3
9389825,49.1114,140.403,0.1,11:24.0,128,7.3
9389825,49.1115,140.406,0,53:21.0,196,7.3
9389825,49.1089,140.402,0.2,32:18.0,104,6.9
9389825,-14.673,61.915,9.1,12:13.0,215,7.4
9389825,25.9249,178.658,10.9,49:33.0,289,12.1
9389825,-11.7149,64.8111,11.2,51:04.0,217,7.4
9389825,21.2821,-168.198,10,09:32.0,288,12.1
9389825,44.8743,149.736,12.1,15:44.0,58,7.7
9389825,38.6059,122.165,0.1,19:27.0,111,7.7
